RMSE,MAE,R2,Inference Time
28505.711078155797,11204.946283888186,0.9536950563659622,0.00093815007875132
29752.25170719981,10753.35567822165,0.9495567243218387,0.0008214434912038403
29227.62455337413,10439.526830730698,0.9513199919084798,0.0008460047633148903
31301.021397482837,11321.053394206505,0.9441683296948277,0.0008257322533186092
29983.858320261676,10615.366924151316,0.9487683154625541,0.0008295573467432066
28984.44954788549,11058.913745127764,0.9521266613584587,0.0008375409037567848
31416.99586816427,11723.685891564848,0.9437538356252115,0.0007967692474986232
29534.62499689165,10550.575334070225,0.9502919732007045,0.0008022348548090735
28566.480130610336,10998.768449809946,0.9534974182917222,0.0008340568043464839
28305.507971652918,10703.98248547411,0.9543431959145952,0.0007726861987003061
29511.207403721597,10641.611273547547,0.9503707675563128,0.0008603528488514035
30303.220577691693,11115.071728373934,0.9476711517566218,0.000891745783561884
29961.63150476685,10634.25369655502,0.9488442426581917,0.0008254841316578
29835.81406462748,11110.627032222914,0.9492729758221019,0.0008048221122386843
29122.414776435256,10902.415237273148,0.9516698249732711,0.0008584843125454215
32085.918125459564,11145.996863821687,0.9413331805903544,0.0008068951063377913
30686.16401104719,11501.842326983537,0.9463402301372827,0.0008564549823139989
28936.059814861004,11017.64933336365,0.9522863776436142,0.0008987063585325729
29150.168492267512,10469.562527028882,0.9515776635845394,0.0009293403736380644
28513.36117570445,10607.205387301843,0.95367019925096,0.000993885966234429
28844.298842439857,10519.444563636132,0.952588513203377,0.000916388145712919
30049.867696963225,10686.92532914799,0.9485424943552339,0.0009258881557819455
29507.665530571376,10879.69002279877,0.9503826796339891,0.0009370217489641766
27383.051178760386,10602.955488861351,0.9572705524252104,0.0010139886723008267
29438.32072003424,10698.84750306888,0.9506156130556463,0.0008890233760656313
29613.471513049924,10637.911510573042,0.9500262148722965,0.0009234817915184554
29339.571026843336,10779.88557257803,0.9509463733437483,0.0010663617488949797
30264.2736128961,11044.82613856358,0.947805575760284,0.0009058485197466473
29588.81374842601,10841.702963804388,0.9501094019322928,0.0008929586687753367
29653.573663179333,11297.793661579186,0.9498907756236192,0.0009487215862717739
29830.179662431816,11153.192734636927,0.9492921332996226,0.001050771668899891
29380.185730031004,10628.365094645436,0.9508104696897862,0.0009181624235108842
29147.926874964694,9912.38220598138,0.9515851105516956,0.0009250925030819205
28790.135670959524,10770.104729377708,0.9527664024617176,0.0009896096795104271
30164.951325045084,11104.547294107313,0.9481476003579802,0.0011231843815293424
29822.303366422613,11287.353884797096,0.9493189073549979,0.0008551866509193598
27652.83042112211,10306.164846346468,0.9564244595065934,0.0009498804114585699
29342.701106248773,10957.703032114048,0.9509359062556859,0.001092537197955819
31023.632169612527,11230.477092718716,0.9451535039783275,0.0009405398091604544
28812.333208837957,10824.539617430806,0.9526935390494886,0.001065087179804957
29525.86662074177,10938.963868280747,0.9503214502666257,0.0007846057415008545
29053.42049378541,10873.384275718117,0.951898552973467,0.0008032384306885475
30035.1075034666,10523.14027119171,0.9485930327611166,0.000792355731476185
29734.365198473133,10665.497031051864,0.949617357237302,0.0007961565671965133
29031.78694501043,11000.233101770575,0.9519701602099863,0.0008776395819907964
30588.95770922177,10351.11518729851,0.9466796538701697,0.0009398210880368255
31697.47169084414,10961.224018929726,0.9427450753876936,0.0009325333805971367
30112.129234326858,11205.391739181943,0.948329039673277,0.0009855274544205777
29445.675466011133,10574.559059984786,0.9505909339989816,0.000986093005468679
30672.839051318148,10979.67832754106,0.9463868217562721,0.0010534649671510208
30051.663507892314,11169.894439585123,0.9485363438647793,0.001064145287802053
30017.09329208052,11024.88978289312,0.9486546791702936,0.000801449598268021
29122.380735104955,10776.31431392592,0.9516699379599518,0.000770735879277074
28907.31187719601,10699.426621334289,0.952381137391468,0.0008093548375506733
30250.99441301937,10561.143455620138,0.9478513689052545,0.0008768189785092376
27818.975422229465,10601.601766881287,0.9558992613596639,0.0007869324018788892
28737.93565603155,10549.14253811161,0.9529375276911028,0.0008257710656454397
30250.372216370153,10801.197920581992,0.9478535140492723,0.0007915919603303422
28601.006967027708,10709.01175013527,0.9533849397980788,0.0009052205917447113
29211.972869870384,11089.900005873655,0.9513721152050041,0.0009865150895229605
30460.627285239272,11009.609730114274,0.9471261070772108,0.0008467276429021081
30314.187644550926,10760.98691284028,0.9476332681379395,0.0008343645306520684
29175.04054727246,10452.134090733774,0.9514949966991152,0.000932944375415181
29990.18241551147,11280.683265993343,0.9487467019518957,0.0008238886677941611
29953.3275745457,11224.92844202655,0.9488725945837568,0.0008500724337821783
29639.12950380803,10774.37003558399,0.9499395798152672,0.0008237826269726421
29705.184370830288,10625.22999907138,0.9497161981431688,0.0009105614451474922
30225.8087731925,11078.456551719804,0.9479381660454951,0.000830743201943331
30352.879291457277,11143.46438937927,0.9474995058106351,0.0008156202560247377
29407.340712208235,10941.192099822907,0.950719499665414,0.0008143138053805329
29394.3222284597,10667.56968380383,0.950763122473193,0.000857221525768901
28891.179114141058,10194.850915293335,0.9524342733913307,0.0008103646511255308
29852.46815695253,10503.377947479637,0.9492163292479066,0.0008131854755933894
28963.65064057358,10533.205437290433,0.9521953434202196,0.0008499192637066509
29658.821291293196,11037.572161832126,0.9498730389525256,0.0008229987565861192
30239.45427767038,10840.008734673773,0.9478911485875524,0.0009205909662468489
28783.903225937876,11290.072810229905,0.9527868503637102,0.000954718783844349
29650.436772632787,10646.579172118749,0.9499013766284113,0.0010351178257964379
30044.03824018642,11381.75134369399,0.9485624571858251,0.0008373385251954545
29737.473148097633,10764.78749128098,0.9496068243136542,0.000984947348749915
30215.56738652248,10861.81478307311,0.9479734402078437,0.0009608040022295575
29933.691348013777,10831.28028167949,0.9489396068539195,0.0009557694889778315
28134.080111020838,10347.367323915842,0.9548945477728474,0.0010472113309904587
28699.079917825096,10449.955233697281,0.9530647052931838,0.0009587303150531858
28722.78073729739,10759.087755016008,0.9529871512891107,0.0010260045528411865
31324.049196577584,10852.451614009367,0.9440861500495883,0.0008496052997056828
28848.593307151517,10489.582963965011,0.9525743944955497,0.0009500689284746037
28014.862930890587,10626.254554824547,0.9552760034057718,0.0009873447030089623
26949.501931954077,10268.744506819816,0.9586128912487116,0.0009128929570663807
28157.73376262132,10444.136673577203,0.9548186713163698,0.0009434230105821477
28858.671599264406,10794.287108408402,0.9525412523183651,0.0010456387386765591
30419.54064286783,10790.93699227382,0.9472686481737616,0.0009251327015632807
30296.392619860122,10824.797108293324,0.9476947306970005,0.0008398190487262815
28401.816597202134,10550.758550533208,0.9540319755947234,0.0008447142534477766
30547.640570731495,10819.054247644986,0.9468235983809744,0.0008715959482414778
29705.198109872374,10458.550006140073,0.9497161516293063,0.0008056794488152792
28592.14725760649,10462.562043259684,0.9534138151395538,0.0008950261182563249
29465.74564966818,11121.726196296262,0.9505235565680046,0.0008991173533506172
29753.03123267678,10528.621607301564,0.9495540810036759,0.000910183024960895
29326.20717454487,10491.889838592451,0.9509910499427259,0.0010309538175893385
